"","baker_first_name","baker_last_name","baker_age","baker_occupation","baker_hometown","series","episode","technical","signature_bake","show_stopper","result"
"602","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,7,"2","Not a Boaring Pie","Charlotte Rose","IN"
"603","Mat","Riley",37,"Fire fighter","London",6,7,"6","Raised Venison and Pigeon Pie","Strawberry Charlotte Russe","OUT"
"604","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,7,"3","Middle Eastern Game Pie","Spiced Blackberry, Raspberry and Cardamom Charlotte Russe","STAR BAKER"
"605","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,7,NA,NA,NA,NA
"606","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,7,NA,NA,NA,NA
"607","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,7,NA,NA,NA,NA
"608","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,7,NA,NA,NA,NA
"609","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,7,NA,NA,NA,NA
"610","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,7,NA,NA,NA,NA
"611","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,8,"3","Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns","Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne","IN"
"612","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,8,"2","Mont Blanc & Black Forest Gâteau Horns","Nun with Hidden Passions","IN"
"613","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,8,"4","Lime & Mascarpone and Malt Cream Horns","Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne","IN"
"614","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,8,"5","Café Tipple & Banana Crunch-away Horns","Religieuse à l'ancienne","OUT"
"615","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,8,"1","Rose Pistachio and Mocha Hazelnut Horns","Bubble Gum and Peppermint Cream Religieuse à l'ancienne","STAR BAKER"
"616","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,8,NA,NA,NA,NA
"617","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,8,NA,NA,NA,NA
"618","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,8,NA,NA,NA,NA
"619","Mat","Riley",37,"Fire fighter","London",6,8,NA,NA,NA,NA
"620","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,8,NA,NA,NA,NA
"621","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,8,NA,NA,NA,NA
"622","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,8,NA,NA,NA,NA
"623","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,9,"3","Chocolate and Bay Tart","Chocolate Well","IN"
"624","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,9,"2","Chocolate New York Pie","Chocolate Bell Tower","IN"
"625","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,9,"1","Passion Fruit and Chocolate Tart","Cocoa Carousel","OUT"
"626","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,9,"4","Peanut Salted Caramel and Chocolate Tart","Peacock in Nan's Door","STAR BAKER"
"627","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,9,NA,NA,NA,NA
"628","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,9,NA,NA,NA,NA
"629","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,9,NA,NA,NA,NA
"630","Mat","Riley",37,"Fire fighter","London",6,9,NA,NA,NA,NA
"631","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,9,NA,NA,NA,NA
"632","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,9,NA,NA,NA,NA
"633","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,9,NA,NA,NA,NA
"634","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,9,NA,NA,NA,NA
"635","Ian","Cumming",41,"Travel photographer","Great Wilbraham, Cambridgeshire",6,10,"2","Elderflower and Lemon & Spiced Buns","Colossal Curvy Carrot Cake","Runner-up"
"636","Tamal","Ray",29,"Trainee anaesthetist","Manchester",6,10,"3","Cinnamon and Apple & Toffee and Marmalade Iced Buns","Sticky Toffee Pudding Cake","Runner-up"
"637","Nadiya","Hussain",30,"Full-time mother","Leeds / Luton",6,10,"1","Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers","My Big Fat British Wedding Cake","WINNER"
"638","Alvin","Magallanes",37,"Nurse","Bracknell, Berkshire",6,10,NA,NA,NA,NA
"639","Dorret","Conway",53,"Accountant","Penwortham, Lancashire",6,10,NA,NA,NA,NA
"640","Flora","Shedden",19,"Art gallery assistant","Dunkeld, Perth and Kinross",6,10,NA,NA,NA,NA
"641","Marie","Campbell",66,"Retired","Auchterarder, Perthshire",6,10,NA,NA,NA,NA
"642","Mat","Riley",37,"Fire fighter","London",6,10,NA,NA,NA,NA
"643","Paul","Jagger",49,"Prison governor","Swansea, Wales",6,10,NA,NA,NA,NA
"644","Sandy","Docherty",49,"Child welfare officer","Yeadon, West Yorkshire",6,10,NA,NA,NA,NA
"645","Stu","Henshall",35,"Professional musician","Guildford, Surrey",6,10,NA,NA,NA,NA
"646","Ugnė","Bubnaityte",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania",6,10,NA,NA,NA,NA
"647","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,1,"12","Lemon and Rosemary Drizzle Cake","'Ultimate Indulgence' Mirror Glaze Cake","IN"
"648","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,1,"6","Pistachio, Cardamom and Lemon Drizzle Cake","White Chocolate Mirror Glaze with Salted Praline Buttercream","IN"
"649","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,1,"5","Raspberry and Rhubarb Drizzle Custard Bundt Cake","Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?","IN"
"650","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,1,"4","Berry Best Apple and Bramble Drizzle Cake","One Swallow Does Not Make A Summer Cake","IN"
"651","Louise","Williams",46,"Hairdresser","Cardiff",7,1,"9","Orange Liqueur and Lemonade Drizzle Cake","White Chocolate Trifle Mirror Glaze Cake","IN"
"652","Michael","Georgiou",20,"Student","Durham",7,1,"3","Lime, Ginger and Honey Drizzle Cake","Matcha Tea Chocolate Mirror Glaze","IN"
"653","Rav","Bansal",28,"Student support","Erith",7,1,"8","Ginger Spice Yuzu Drizzle Cake","Colombian Mocha Mirror Glaze Cake","IN"
"654","Selasi","Gbormittah",30,"Client service associate","London",7,1,"1","Citrus and Spice Drizzle Cake","Raspberry, Sloe and White Chocolate Mirror Glaze Cake","IN"
"655","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,1,"2","G&T Drizzle Cake","Black Forest Broken Mirror","IN"
"656","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,1,"10","Mum's Orange and Lemon Drizzle","Chocolate Sponge with Four Fruit Frosting","IN"
"657","Lee","Banfield",67,"Pastor","Bolton",7,1,"11","St. Clements Orange and Lemon Drizzle Cake","Strawberry Surprise Mirror Cake","OUT"
"658","Jane","Beedle",61,"Garden designer","Beckenham",7,1,"7","Lemon and Poppy Seed Drizzle Cake","Chocolate Orange Mirror Cake","STAR BAKER"
"659","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,2,"4","Beehive Biscuits","Punting in Cambridge","IN"
"660","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,2,"3","Bouquet Biscuits","New York, New York","IN"
"661","Jane","Beedle",61,"Garden designer","Beckenham",7,2,"2","Flower Pot Iced Biscuits","Hastings Old Town Fishing Net Shops and Boat","IN"
"662","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,2,"1","""A Biscuit for the Broads""","""I Promise I will do my best""","IN"
"663","Michael","Georgiou",20,"Student","Durham",7,2,"9","Malt, Chocolate and Orange Iced ""Beer"" Biscuits","Trip to See Santa in Lapland","IN"
"664","Rav","Bansal",28,"Student support","Erith",7,2,"6","Union Jack Bunting Biscuits","Gingerbread Christmas Fairground","IN"
"665","Selasi","Gbormittah",30,"Client service associate","London",7,2,"11","""Wheelie Hot Iced Biscuits""","Stained Glass Window Gingerbread Church","IN"
"666","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,2,"7","Chai Frappelatteccino Biscuits","Tom and Pod's Near Death Experience","IN"
"667","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,2,"5","Sunday Treat Iced Ice Cream Cone Biscuits","From Holland to New York via Yorkshire","IN"
"668","Louise","Williams",46,"Hairdresser","Cardiff",7,2,"10","Baa Bara Brith Biscuits","Gingerbread Wedding","OUT"
"669","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,2,"8","Salted Caramel, Chocolate Iced Shiny Hearts","Gingerbread Pub with Sticky Ginger Carpet","STAR BAKER"
"670","Lee","Banfield",67,"Pastor","Bolton",7,2,NA,NA,NA,NA
"671","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,3,"2","Chocolate Barmbrack Bread","Braided Harvest Bread Basket","IN"
"672","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,3,"6","Chocolate, Tahini and Almond Babka","Braided Bread Heart","IN"
"673","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,3,"3","Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf","Italian Light and Dark Rye Twist","IN"
"674","Jane","Beedle",61,"Garden designer","Beckenham",7,3,"9","Chocolate and Cranberry Couronne","Chorizo and Chilli Flower with Parmesan and Pesto Centre","IN"
"675","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,3,"8","Cobbled Loaf","The Corn Maiden","IN"
"676","Rav","Bansal",28,"Student support","Erith",7,3,"10","Chocolate, Cardamom and Hazelnut Loaf","Three Tier Diwali Bread Centrepiece","IN"
"677","Selasi","Gbormittah",30,"Client service associate","London",7,3,"5","Chocolate, Orange and Cinnamon Bread","Bedouin Escape Tear and Share Bread","IN"
"678","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,3,"1","Double Chocolate Cinnamon Twist Loaf","""And They All Went Into The Ark To Get Out Of The Rain""","IN"
"679","Michael","Georgiou",20,"Student","Durham",7,3,"7","Chocolate and Chilli Swirl Plait","Cypriot Dove and Olive Branch Plaited Loaf with Houmous","OUT"
"680","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,3,"4","Chocolate Orange and Chilli Swirl Bread","Jörmungandr and Mjölnir","STAR BAKER"
"681","Lee","Banfield",67,"Pastor","Bolton",7,3,NA,NA,NA,NA
"682","Louise","Williams",46,"Hairdresser","Cardiff",7,3,NA,NA,NA,NA
"683","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,4,"4","Yorkshire 'Tapas' Puddings","Churros Window Box","IN"
"684","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,4,"2","Yorkshire Wellingtons","Two-Way Peanut Butter Churros","IN"
"685","Jane","Beedle",61,"Garden designer","Beckenham",7,4,"3","Meat and Two Veg Yorkshires","Pistachio and White Chocolate Churros","IN"
"686","Rav","Bansal",28,"Student support","Erith",7,4,"9","Thai Tofu Panang Yorkshires","Three Dip Matcha Pistachio Churros","IN"
"687","Selasi","Gbormittah",30,"Client service associate","London",7,4,"8","Perfect Sunday Roast Accompaniment","Lemon and Anise Churros","IN"
"688","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,4,"5","West Yorkshire Fusion Puddings","Fennel Churros Snake In The Grass","IN"
"689","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,4,"6","Mum's Chilli Yorkshire Puddings","Orange Chocolate Churros","IN"
"690","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,4,"7","Christmas Dinner Compromise","Hot Cross Bunny Churros","OUT"
"691","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,4,"1","Red Onion Chutney, Brie and Bacon Yorkshire Puddings","Tropical Churros","STAR BAKER"
"692","Lee","Banfield",67,"Pastor","Bolton",7,4,NA,NA,NA,NA
"693","Louise","Williams",46,"Hairdresser","Cardiff",7,4,NA,NA,NA,NA
"694","Michael","Georgiou",20,"Student","Durham",7,4,NA,NA,NA,NA
"695","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,5,"6","Mum and Dad's Breakfast Pastries","Spicy Chorizo Squash Parcels and Baklava Bites","IN"
"696","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,5,"5","'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels","Plantain and Spinach Samosas and Chai Pear Cups","IN"
"697","Jane","Beedle",61,"Garden designer","Beckenham",7,5,"1","Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones","IN"
"698","Rav","Bansal",28,"Student support","Erith",7,5,"8","Cinnamon Swirls and Pecan, Walnut and Maple Plaits","Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas","IN"
"699","Selasi","Gbormittah",30,"Client service associate","London",7,5,"3","Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups","IN"
"700","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,5,"4","Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers","Yin and Yang Amuse-bouche","IN"
"701","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,5,"7","Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels","OUT"
"702","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,5,"2","Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups","STAR BAKER"
"703","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,5,NA,NA,NA,NA
"704","Lee","Banfield",67,"Pastor","Bolton",7,5,NA,NA,NA,NA
"705","Louise","Williams",46,"Hairdresser","Cardiff",7,5,NA,NA,NA,NA
"706","Michael","Georgiou",20,"Student","Durham",7,5,NA,NA,NA,NA
"707","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,6,"6","Tangy Lime and Ginger Meringue Pie","Spring Elderflower Trio","IN"
"708","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,6,"2","Grapefruit and Ginger Meringue Pie","Floral Tea Cake","IN"
"709","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,6,"5","Lime, Coconut and Lemongrass Sugar Meringue Pie","Four Seasons Cake","IN"
"710","Jane","Beedle",61,"Garden designer","Beckenham",7,6,"4","Lime and Coconut Meringue Pie","Three Tier Orange Cake with a Floral Chocolate Collar","IN"
"711","Selasi","Gbormittah",30,"Client service associate","London",7,6,"7","Grapefruit, Orange and Mint Meringue Pie","Three Tiered Ombré Floral Cake","IN"
"712","Rav","Bansal",28,"Student support","Erith",7,6,"3","Mandarin Margarita Meringue Pie","Blossom Cake","OUT"
"713","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,6,"1","Blood Orange Halloween Pumpkin Pie","Floral Tea Cake","STAR BAKER"
"714","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,6,NA,NA,NA,NA
"715","Lee","Banfield",67,"Pastor","Bolton",7,6,NA,NA,NA,NA
"716","Louise","Williams",46,"Hairdresser","Cardiff",7,6,NA,NA,NA,NA
"717","Michael","Georgiou",20,"Student","Durham",7,6,NA,NA,NA,NA
"718","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,6,NA,NA,NA,NA
"719","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,7,"3","Piña Colada Roulade","Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake","IN"
"720","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,7,"2","Crowd Pleaser Roulade","Blackberry and Raspberry Bubbles and After Dinner Mousse","IN"
"721","Jane","Beedle",61,"Garden designer","Beckenham",7,7,"4","Chocolate and Hazelnut Roulade","Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses","IN"
"722","Selasi","Gbormittah",30,"Client service associate","London",7,7,"6","Summer Picnic Roulade","Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes","IN"
"723","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,7,"5","Millionaire's Roulade","Hipster Picnic","OUT"
"724","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,7,"1","Tropical Holiday Roulade","Childhood Ice Cream Mousse Cakes","STAR BAKER"
"725","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,7,NA,NA,NA,NA
"726","Lee","Banfield",67,"Pastor","Bolton",7,7,NA,NA,NA,NA
"727","Louise","Williams",46,"Hairdresser","Cardiff",7,7,NA,NA,NA,NA
"728","Michael","Georgiou",20,"Student","Durham",7,7,NA,NA,NA,NA
"729","Rav","Bansal",28,"Student support","Erith",7,7,NA,NA,NA,NA
"730","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,7,NA,NA,NA,NA
"731","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,8,"2","Da Vinci Inspired Geared Pies","Jousting Knights Marchpane","IN"
"732","Jane","Beedle",61,"Garden designer","Beckenham",7,8,"5","Tudor Rose Pies","Swans","IN"
"733","Selasi","Gbormittah",30,"Client service associate","London",7,8,"3","Bouquet of Flowers","Fruity Tudor Marchpane","IN"
"734","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,8,"4","Mexican Adventure","Tudor Garden","OUT"
"735","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,8,"1","Cheesy Cheeky Fish Pies","Peacock","STAR BAKER"
"736","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,8,NA,NA,NA,NA
"737","Lee","Banfield",67,"Pastor","Bolton",7,8,NA,NA,NA,NA
"738","Louise","Williams",46,"Hairdresser","Cardiff",7,8,NA,NA,NA,NA
"739","Michael","Georgiou",20,"Student","Durham",7,8,NA,NA,NA,NA
"740","Rav","Bansal",28,"Student support","Erith",7,8,NA,NA,NA,NA
"741","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,8,NA,NA,NA,NA
"742","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,8,NA,NA,NA,NA
"743","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,9,"3","Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers","Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies","IN"
"744","Jane","Beedle",61,"Garden designer","Beckenham",7,9,"1","Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers","Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies","IN"
"745","Selasi","Gbormittah",30,"Client service associate","London",7,9,"4","Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers","Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies","OUT"
"746","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,9,"2","Cheesy Elephant Ears and Herby Treble Clefs","Philharmonic Fondants","STAR BAKER"
"747","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,9,NA,NA,NA,NA
"748","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,9,NA,NA,NA,NA
"749","Lee","Banfield",67,"Pastor","Bolton",7,9,NA,NA,NA,NA
"750","Louise","Williams",46,"Hairdresser","Cardiff",7,9,NA,NA,NA,NA
"751","Michael","Georgiou",20,"Student","Durham",7,9,NA,NA,NA,NA
"752","Rav","Bansal",28,"Student support","Erith",7,9,NA,NA,NA,NA
"753","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,9,NA,NA,NA,NA
"754","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,9,NA,NA,NA,NA
"755","Andrew","Smyth",25,"Aerospace engineer","Derby / Holywood, County Down",7,10,"1","Crunchy Caramel Cassis Crown","Family and Friends' Favourites Picnic","Runner-up"
"756","Jane","Beedle",61,"Garden designer","Beckenham",7,10,"3","Red, White and Blue Meringue Crown","Family Favourites Feast","Runner-up"
"757","Candice","Brown",31,"PE teacher","Barton-Le-Clay, Bedfordshire",7,10,"2","Queen Victoria's Mango and Strawberry Crown","Picnic for Pearly Kings and Queens","WINNER"
"758","Benjamina","Ebuehi",23,"Teaching assistant","South London",7,10,NA,NA,NA,NA
"759","Kate","Barmby",37,"Nurse","Brooke, Norfolk",7,10,NA,NA,NA,NA
"760","Lee","Banfield",67,"Pastor","Bolton",7,10,NA,NA,NA,NA
"761","Louise","Williams",46,"Hairdresser","Cardiff",7,10,NA,NA,NA,NA
"762","Michael","Georgiou",20,"Student","Durham",7,10,NA,NA,NA,NA
"763","Rav","Bansal",28,"Student support","Erith",7,10,NA,NA,NA,NA
"764","Selasi","Gbormittah",30,"Client service associate","London",7,10,NA,NA,NA,NA
"765","Tom","Gilliford",26,"Project engagement manager","Rochdale",7,10,NA,NA,NA,NA
"766","Val","Stones",66,"Semi-retired, Substitute teacher","Yeovil",7,10,NA,NA,NA,NA
"767","Chris","Geiger",50,"Software developer","Bristol",8,1,"12","Tropical Fresh Fruit Cake","'Raised Pork Pie and Egg Surprise' Cake","IN"
"768","Flo","Atkins",71,"Retired","Merseyside",8,1,"9","Citrus Layer Cake","'One in a Melon' Cake","IN"
"769","James","Hillery",46,"Banker","Brentwood, Essex",8,1,"2","Orange, Rhubarb & Ginger Crumble Cake","'Mock-accino and Croissant' Cake","IN"
"770","Julia","Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,1,"3","Courgette and Lemon Cake","'Russian Doll' Cake","IN"
"771","Kate","Lyon",29,"Health and safety inspector","Merseyside",8,1,"1","Moroccan Strawberry and Rose Cake","'Chocolate Terrarium' Cake","IN"
"772","Liam","Charles",19,"Student","North London",8,1,"8","Apple and Almond Crumble Maple Loaf","'Stackin' Sunday' Cake","IN"
"773","Sophie","Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,1,"5","Pineapple and Coconut Sandwich Cake","'Champagne Bottle and Bucket' Cake","IN"
"774","Stacey","Hart",42,"Former school teacher","Radlett, Hertfordshire",8,1,"11","Granny Smith Apple and Walnut Cake","'Black Evening Clutch Bag' Cake","IN"
"775","Tom","Hetherington",29,"Architect","Edinburgh",8,1,"7","Gilded Pear and Cardamom Cake","'Stack of Books' Cake","IN"
"776","Yan","Tsou",46,"Laboratory research scientist","North London",8,1,"4","Windfall Apple Crumble Cake","'Banana-ramen' Cake","IN"
"777","Peter","Abatan",52,"IT programme manager","Southend, Essex",8,1,"10","Coconut Cake","'Bread on a Breadboard' Cake","OUT"
"778","Steven","Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,1,"6","Bonfire Night Cake","'A Baker's Lunch' Cake","STAR BAKER"
"779","Flo","Atkins",71,"Retired","Merseyside",8,2,"10","Gin Jam Butties","'Pick My Bones' Game","IN"
"780","James","Hillery",46,"Banker","Brentwood, Essex",8,2,"3","Rhubarb and Custard Whirls","'Coppit' Game","IN"
"781","Julia","Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,2,"4","Middle Eastern Delight Sandwich Biscuits","'A British Baking' Game","IN"
"782","Kate","Lyon",29,"Health and safety inspector","Merseyside",8,2,"8","Coconut Seashells for a Titanic Afternoon Tea","'Jungle' Game","IN"
"783","Liam","Charles",19,"Student","North London",8,2,"7","Coffee Malted Pecan Shorties","'Classroom Classics' Game","IN"
"784","Sophie","Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,2,"2","Lemon Limoncino Sandwich Biscuits","'Snakes and Ladders' Game","IN"
"785","Stacey","Hart",42,"Former school teacher","Radlett, Hertfordshire",8,2,"9","Sparkly Chocolate and Marshmallow Fluff Cookies","'Get to School' Game","IN"
"786","Tom","Hetherington",29,"Architect","Edinburgh",8,2,"5","Coffee and Amaretto Kisses","'Drain Pipes and Ladders' Game","IN"
"787","Yan","Tsou",46,"Laboratory research scientist","North London",8,2,"1","'Mrs. Marian's PB 'n' B' Biscuits","'Adventures in Bakeland' Game","IN"
"788","Chris","Geiger",50,"Software developer","Bristol",8,2,"11","Chocolate Chia Seed Biscuits with Whisky Caramel Filling","'The Great British Sail Off' Game","OUT"
"789","Steven","Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,2,"6","Amarpressi Biscuits","'Check Bake' Game","STAR BAKER"
"790","Peter","Abatan",52,"IT programme manager","Southend, Essex",8,2,NA,NA,NA,NA
"791","James","Hillery",46,"Banker","Brentwood, Essex",8,3,"9","Nordic Teacakes","'Owl in the Woods' Bread Sculpture","IN"
"792","Kate","Lyon",29,"Health and safety inspector","Merseyside",8,3,"10","Blueberry Buns","'Kraken' Bread Sculpture","IN"
"793","Liam","Charles",19,"Student","North London",8,3,"5","Jamaican Spiced Teacakes","'Kneadapolitan' Bread Sculpture","IN"
"794","Sophie","Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,3,"6","Tagine Teacakes","'Picnic Basket' Bread Sculpture","IN"
"795","Stacey","Hart",42,"Former school teacher","Radlett, Hertfordshire",8,3,"1","Cranberry and Cinnamon Teacakes","'Ascot Hat' Bread Sculpture","IN"
"796","Steven","Carter-Bailey",34,"Marketer","Watford, Hertfordshire",8,3,"3","Madras Cocktail Teacakes","'The Bag I Knead' Bread Sculpture","IN"
"797","Tom","Hetherington",29,"Architect","Edinburgh",8,3,"4","Orange and Cranberry Teacakes","'Pink & Yellow Rose Centrepiece' Bread Sculpture","IN"
"798","Yan","Tsou",46,"Laboratory research scientist","North London",8,3,"8","'Mrs P's' Masala Chai Spiced Teacakes","'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture","IN"
"799","Flo","Atkins",71,"Retired","Merseyside",8,3,"7","Cinnamon and Orange Teacakes","'Davy Jones' Locker' Bread Sculpture","OUT"
"800","Julia","Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,3,"2","Earl Grey Dried Fruit Teacakes","'The Snail Under a Mushroom' Bread Sculpture","STAR BAKER"
"801","Chris","Geiger",50,"Software developer","Bristol",8,3,NA,NA,NA,NA
"802","Peter","Abatan",52,"IT programme manager","Southend, Essex",8,3,NA,NA,NA,NA
"803","James","Hillery",46,"Banker","Brentwood, Essex",8,4,"2","'Windy City' Millionaire Shortbreads","Nutty Caramel Cake","IN"
"804","Julia","Chernogorova",21,"Aviation Broker","Crawley, West Sussex",8,4,"9","Pecan Salted Caramel Millionaire Shortbreads","Poppy Seed Caramel Cake","IN"
"805","Liam","Charles",19,"Student","North London",8,4,"3","Salted Peanut Butter Millionaire Shortbreads","White Layered Ginger Caramel Cake","IN"
"806","Sophie","Faldo",33,"Former army officer and trainee stuntwoman","West Molesey, Surrey",8,4,"4","Jaffa Millionaire Shortbreads","Bird's Nest Caramel Cake","IN"
"807","Stacey","Hart",42,"Former school teacher","Radlett, Hertfordshire",8,4,"1","Rum Salted Caramel Millionaire Shortbreads","Chocolate and Coffee Caramel Cake","IN"
